裸地,语义类别,None,修改为,工矿用地,语义类别,None
工矿用地附近,必要条件,裸地,条件,工矿用地,语义类别,None
错误分类,必要条件,裸地,条件,工矿用地,语义类别,None
建筑,语义类别,None,修改为,交通单元,语义类别,None
位于两端,必要条件,建筑,条件,交通单元,语义类别,None
线性延伸,必要条件,建筑,条件,交通单元,语义类别,None
错误分类,必要条件,建筑,条件,交通单元,语义类别,None
水体,语义类别,None,修改为,邻域类别,修改方案,None
图幅边缘,必要条件,水体,条件,邻域类别,修改方案,None
错误分类,必要条件,水体,条件,邻域类别,修改方案,None
水体,语义类别,None,修改为,包围类别,修改方案,None
基础设施包围,充分条件,水体,条件,包围类别,修改方案,None
工矿用地包围,充分条件,水体,条件,包围类别,修改方案,None
建筑包围,充分条件,水体,条件,包围类别,修改方案,None
错误分类,必要条件,水体,条件,包围类别,修改方案,None
森林,语义类别,None,修改为,城市绿地,语义类别,None
城市绿地包围,充分条件,森林,条件,城市绿地,语义类别,None
建筑包围,充分条件,森林,条件,城市绿地,语义类别,None
工矿用地包围,充分条件,森林,条件,城市绿地,语义类别,None
